-3.973896,0.408351,-0.64114,-0.00180619,0.0081026,0.116914,0.993107,0,2
3.04484,0.4409786,-0.689282,0.029007,0.00830553,-0.059417,0.997777,0,2
7.0481,-0.064267,-0.84491,0.0537738,-0.000178892,-0.0610379,0.996686,0,2
11.0428,-0.7036,-0.95052,0.0327715,0.00439064,-0.0660102,0.997271,0,2
15.0105,-1.52335,-1.04109,0.0198675,0.00146285,-0.0600104,0.997999,0,2
18.9358,-2.29581,-1.09432,0.00327677,0.00603273,-0.260258,0.965515,0,2
22.7905,-3.82644,-1.19531,0.000291562,0.00433192,-0.199543,0.979879,0,2
22.7905,-6.12644,-1.19531,0.000291562,0.00433192,-0.999543,0.979879,0,2
22.7905,-10.12644,-1.19531,0.000291562,0.00433192,-0.999543,0.979879,0,2
20.7905,-6.12644,-1.19531,0.000291562,0.00433192,-0.999543,0.979879,0,2
18.7779,-3.31504,-1.10396,0.00764083,-0.0240427,0.967534,0.251479,0,2
14.8918,-1.44859,-1.03028,0.00853842,-0.0432887,0.992961,0.109917,0,2
10.9304,-0.75542,-1.024,0.0083692,-0.0278366,0.998904,0.0366923,0,2
6.95423,-0.128017,-0.882638,0.00419226,-0.0593208,0.994117,0.0905253,0,2
2.95683,0.480255,-0.726452,0.0133242,-0.0501405,0.997554,0.0468485,0,2
-3.973896,0.408351,-0.64114,-0.00180619,0.0081026,0.116914,0.993107,0,2
